Tweet,Label
"bangun tidur, gitaran, no make up, ngegame, doing sport thingy (baseball dll) duh gue suka semua",Love
"pernikahan yang biasa saja, sudah tidak mudah, apalagi kalau anda masukkan orang ketiga",Neutral
"jangan terlalu banyak memikirkan sesuatu,pikirkan saja apa kepentingan mu dan apa yg menjadi tujuanmu, sisanya lupakan saja.",Neutral
ga ngestan sn tapi bias gue dia.. sedih banget asli,Sad
yg dinamakan org prik bin tolol,Anger
grgr teminum kopi kah jadi gugup tadi?,Neutral
"takut gue, mau hidup tenang",Fear
"page 36/365 seharusnya jujur dari awal si kalo emang sebenernya gak pernah tulus, jangan terpaut karna kasihan datangnya. yang ikhlas ya jangan buat orang yang mengharapkan mu kecewa",Sad
"mungkin ngerasa gaenak pak karna gopal udah tinggi jabatannya di aafikabbogor, dan mungkin juga dikira cuma bercanda, mau negur ga berani mau marah juga ga berani mungkin gitu yaa",Anger
klo bener semua takut,Fear
"ini maksutnya malu shy apa malu ""palu"" sih?! yang jelas dong!!",Anger
baru bangun tidur woyy elah sedih bgt denise left padahal masih positif thinking dia bakalan cb ot7 mana vine gk ada pengumuman resmi lg emg agenshit,Sad
"jangan sedih, mereka tiang, kita normal kok.",Neutral
pagi pagi langsung dapat berita sedih,Sad
demi apapun suaranya niji enak banget ya allah. sanji mengmaaf aku gonggong buat niji dulu,Joy
"pedri : ""atletico? merekaa akan keluar untuk menekan seperti biasa dan mencuri bola dari lapangan lawan. mereka memberikan banyak intensitas dalam permainan. kami berharap untuk menguasai bola dan memainkan permainan kami.",Neutral
terkadang kita selalu memaafkan seseorang hanya karena takut kehilangan.,Fear
semangat yaa para pejuang keluarga.. semoga dilancarkan rezekinya yg berkah.aamiin,Joy
"wow hari ini rasa rajin banget. belanja ke pasar terus bikin ebi furai nge-recook resepnya ci devina hermawan. untung berhasi dan enak, jadi semua orang rumah suka.",Joy
kakakk bagus banget suka suka alaska florida sgt super duper bintang 5 ilyy - terima kasih glad you like it! waduh bintangnya ada 6 tuchh,Love
versi selesai anjir sedih bgt,Sad
sayangnya kanra masih belum puas.,Sad
woohh boleh tuh caakk.. labu siam kan? yg ukuran normal atau yg buat lalapan biasanya lu?,Neutral
"anj j1min aing udah mau sedih, sialan lu ngetiknya kek gi mati aja, gk jlas lu ji udah lah gi gak usah d kasih jatah 5 bulan aja",Anger
"berkoar-koar sajalah yg kek gini sudah di sumpal pakai duit la diem la termasuk yg ngamuk-ngamuk di sebut jin buang anak, jin nya saja gak marah kok..yg manusianya ngamuk-ngamuk, sadarkah kalian itu sudah di provokasi woii ? di kampung saya jg ada tempat yg disebut gitu",Anger
duh.. gimana ya buka pola pikir orang-orang kayak gini.. sedih aja ngebacanya..,Sad
semangat.,Joy
apa kabar ya pak raimu din a¿?,Neutral
"suka banget sama lagu barunya kangen band, gak tau udah berapa lama gak ngehype mereka dan biasku kak izzy masih tetep ganteng sama kayak belasan tahun kemaren",Love
"ya makanya aneh banget, bukan perkara gue punya anak atau enggak, gue nih emang anti bgt sama kekerasan, dan dia beranggapan bahwa normal untuk bentak/nyubit anak.",Neutral
"gua selalu suka kalau pagi-pagi buka tello terus ada yang kirim ginian huhu please lu cepet sembuh yaa makasih banyak karena udah baca ajay dan kugi, nanti gua update lagi oke?? cepet sembuh banget ini gua benerannnn",Love
rata2 klo cuma follow ngga ada deh yg pake proof. aku pribadi suka kasih karena biar ga ke kelewat jeda waktu yg 3 menit,Neutral
takut abis barbar,Fear
baru nyadar dulu kenapa suka banget beli boneka babi. jadi numpuk di lemari gini astaga,Fear
di ft galak2 bgt diteriak2in sm kating di sini saking baiknya sblm mulai apa2 ditanya dulu apa kabar semalem tidur jam brp sm katingnya,Neutral
"waktu awal suka banget tuh karena sering dicengi di kokomz perkara gua pasang bio leebit di rp jadi dicengin lee kn*w cubit bgstt padahal itu nama skzoo-nya lino. -,- terus lama kelamaan baper sih gua.. maaf baperan terus confess, ternyata cubit menerima confessan gw.",Love
"amanda, dia temen sekelas aku waktu kelas 7. dia tuh cantik banget masyaallah, baik jugaa kalo ngomong tuh anggun, bawaannya adem aja kalo ketemu dia, trus anaknya solehah + pinter, dia suka ikut2 organisasi gitu. kurang apalgi coba",Joy
arghh emosi liat bang ziel,Anger
"aku sedih diputusin pacar, katanya aku udah gak tampan, gak mapan. aku harus bilang apa? “ akurapopo ¦",Sad
dear cowo : kenapa si kalian suka banget ga gasi kejelasan sama cewe apa kalian itu aslinya lagi deket sama banyak cewe dan ga mau mereka hilang,Love
bahagia rasanya putri asli papua kakak fientje maritje suebu sebagai duta besar ri untuk selandia baru. papua = torang torang = indonesia indonesia = papua papua harus tetap bersama indonesia.,Neutral
emosi bung,Anger
"ngeri, nganti dimakamkan di satu liang",Fear
takut boongan ya ??,Neutral
punten mama rossa beneran melupakan al andin baby z. al bukan anaknya mama rossa ya. sampai ketika mama rossa bahagia aja ditinggalin al,Neutral
"saya pasti maulah dipeluk sama ibu guruku sayang...... saya suka kehangatan dari wanita dewasa seperti ibu karena ibu adalah wanita berpengalaman. begitu saya dipeluk ibu lalu saya ciuman dengan ibu, netek asi ibu, dan pipis enak lagi dan lagi",Love
"aku udah open seperti biasa ya! hehe yuk yang mau order bisa banget nih langsung dm atau wa aku, have a nice day guys!",Neutral
sedih banget onlen lagi,Sad
aku nda suka dispet tp makasi y udah kasih foto ini,Love
hukum penguasa beraninya ke rakyat kecil bangsat plus bajingan!!,Anger
"kalau kebalik gmn?jangan jangan semua dari nusantara skrg jg udah biasa kita kirim barang baku, balik balik barang jadi yg kita anggap ""asli luar"" catatan sejarah adalah potret waktu peristiwa, bukan sejarah itu sendiri",Neutral
good morning ka sky! semangat ngeba hari ini yah sama jangan lupa sarapann,Joy
"orang cuma bisa nya ngeliati hidup orang lain saja, tp mereka nggak pernah ngeliati hidup mereka sendiri aja belum bener!",Anger
"pake pura2 kaget segala, sok iya -_-",Anger
lah anj enak banget??,Neutral
kalau emang mau negakin syariat jangan setengah2 dan yang enak aja. orang2 kayak gini yang bikin citra poligami buruk dimata orang2. banyak orang jadi nganggap poligami karna sangean doang. bikin emosi,Anger
"kamu jahat tapi nikmat, aku bingungggg :(",Sad
akhirnya bangun siang. tp si bodoh ini kaga solat subuh,Anger
sedih mart mu takde piala musim ni,Sad
"oke, pertama-tama. ulangi kalimat enih. ""cih, kudaranai watashi bangun di 2022 dan belum menjadi character anime serta belum tinggal di isekai. ck watashi sangat kecewa.""",Neutral
"ada yang terlihat tenang padahal sedang berantakan, ada yang terlihat bahagia padahal sedihnya luar biasa.",Neutral
gapapa ko nder santai aja,Neutral
kok sepi rep nya gak kek pas masa-masa penjilat,Neutral
"bahan bakar marah & benci, juga kekerasan adalah rasa takut. kalau mudah marah & benci, bisa jadi di dalam diri penuh ketakutan. tanpa takut, seseorang enggak akan bisa marah & benci. tidak adanya takut barangkali di situlah sebenar-benarnya cinta",Neutral
halo apa kabar samporasun kepriye kabare om suastiastu nara gerotelo napa habar thats all from indonesia,Neutral
"walaupun danpuspom anak buahnya emangnya lu kebal hukum, tugas puspom ga liat lu jendralnya tapi liat kasus hukumnya. bilang aja dung emang takut dikerangkeng.",Fear
"jd rayyan positif guys, sbg tante yg lemah ini gbs bgt denger berita keponakannya sakit hh sedih bgt gbs bantu nemenin anaknya blm bangun jd blm dikasi tau aa gatega",Sad
benci banget gw sama yg jualan agama.. agama cuma topeng.,Anger
"somehow agak ragu kalau dibilang yg dicari 'talent' karena pada dasarnya yg diliat ada dua = visual sama talent tapi wajar sih namanya jg showbiz. indo aja begitu, gimana korea.. cukup menyedihkan",Sad
"ih sedih bayanginnya, gimanapun suatu hari semuanya pasti mencapai akhir kan ya :(",Sad
"tengok orang lain bahagia sangat in relationship, jadi ingin",Joy
"aku sering banget ngeluh soal muka yangg sensitif, suka muncul breakout gak jelas dan dimana-mana, dan aku pengen deh punya muka yg glowing kayak cewek lainnya. kadang juga capek sama muka sendiri karna sering breakout",Love
kalo yang hockey summer masi bisa diliat lah ini kek pas oper oper pucknya tuh bisa ngepas gitu mana kan mereka lari sana sini liatnya takut pada kepleset,Fear
akibat?? pernah liat plat b bawa kendaraan di luar jakarta? ugal2an padahal jalanan sepi kayak dikejer setan bego gitu,Anger
"yah kok marah, padahal cuma ngasi tau yg bener..",Neutral
kalo gak takut sedih emang gak waras,Neutral
"aku bukannya nda suka sih tp ngga bisaa, karena punya alergi rhinitis dan kt dokter kalau bisa di kamar jangan ada terlalu banyak barang biar nda memperparah, jd wkt itu siklusnya beli - baca - jual/kasih orang. untungnya sekarang udah ada e-reader puji tuhan!",Joy
tuli-tulis saja nama2. rakyat kurang lebih 200 juta.,Neutral
mantap ah sedih kucing mati pun aku kerja lagi. hamba sistem nampaknya.,Sad
malah minyak satu harga adanya cuma di awang awang.. kudu produksi sendiri minyaknya..,Neutral
yep truee lagi lagi the oldies kan semua macam takut for booster sebab baca news regarding post-booster effectsi mmg ingat nak walk in ppv dkt pwtc tu je nanti hahah,Fear
kenapa hati mu lagi sepi ? ya karna kalau rame lanjut part 2,Neutral
"wts acc rp y13 f1k - v email (dpt pass email), vall + 1k - go green - masuk ht mt - jarang ke ?72h - bukan bekas sus - enak di upfoll 65k,,t. wts tawarin need murce ijo",Neutral
"yosh semangat teruus! maacii asmakdoen pantjen ouye! semangat jg buat elu maakk, penasaran nih w sama hari senin lu nanti :d",Joy
"kenapa belum? sarapan dong, apa ngga biasa sarapan?",Neutral
"baru saja mengirim foto jayapura, indonesia",Neutral
"imam al-barbahari rahimahullah: jika engkau melihat seseorang duduk bersama ahli bidaah, ingatkan dan beri tahu dia. jika ia masih saja duduk bersama ahli bidaah setelah mengetahuinya, jauhilah dia karena sesungguhnya dia adalah pengikut hawa nafsu syarhus sunnah 144/121",Neutral
boleh ikut pa kabar ratu ?,Neutral
"cewek itu suka berpura-pura dan menutupi semua masalahnya, karena dia gak mau ngerepotin dan bikin khawatir orang yang dia sayang",Love
"biasa nya gitu kalo abis ke lock, bakal balik kok",Neutral
masih paling nanti agak cacat aja dikit wkwk,Joy
twitter makin sepi apa yang fake udah pada mati ya,Neutral
"ga bolehh, soalnya udah makan mie kemarin' takut lambung aku kambuh lagi kalo keseringan wkwk",Fear
"pelan pelan sama yvyv h*jnya dibalikn ke ranjang. ga kasar ga kenceng,""sayangnya, yvyv nakal ya. ditinggal malah main sendiri. ya udah main aja situ sama bantal hyung lagi. "" h*j geleng geleng panik. asli suara y*hnya lembut bgt. ga kaya marah. ""ga mau, ga puas. pingin yvyv""",Joy
aph yg membuat mu ragu nak?,Neutral
"iya bangett suka minderan, kalo nemenin temen yg suka nya cuma liat2 aja kadang suka malu banget",Love
dia memberi kekuatan pada yang lemah dan menambah semangat kepada yang tiada berdaya,Neutral
"jangan khawatir boy, gw juga gagal pinalti tadi kok. apalagi ini cuma kompetisi haha hihi piala fa aja, santai boy.. kata babang ronaldo.",Joy
pernah nolak orang yg padahal gua suka banget ama dia alhasil gw gamon ampe 11 tahun berlalu,Sad
"tambah ngeri aja ni,,",Fear
"ngimpi koq bikin emosi org .. bikin laper lg.. pokok'e maadyaaaaang.. sugeng enjing, happy weekend",Anger
"pdhal w ga stan secret number, tp kok ikut sedih denger denise keluar",Sad
gw yakin kedepannya lockey sedih kalo liat gambar ini,Sad
kdrun bego tuh..,Anger
gatau man reflek saja,Neutral
"susah bgt liat orang lain bahagia sih, dasar para pelakor",Anger
"twt w mulai nga jelas ni keknya, mulai sedih, marah, kesel, nyinyir, lambe turah. bukan kind human lagi:(.. ok let's go ke pak ayi, aku ngobatin mental ku dulu gais",Anger
"hh benci banget sama akgae, akun yg suka bahas 1 member aja trus suka berantem sama akun lain udah aku bub berantem gitu lama lama bakal saling jelekin member lain trus berubah jadi akgae aku maless mutualan sm ornag kaya gituu",Anger
"wta, kalo gini gimana biar kaya normal lagi? money!",Neutral
"yang dilihat itu progress nya bukan stuck pada cerita silam, bagaimana kamu bisa menilai orang lain berubah jika pandangan mu saja masih pada cerita lama",Neutral
semangat deh gw,Joy
"eh kok papa kenal? namira liatin bokapnya penasaran. ""ini alex anaknya pak adin yg kecilnya suka kelai itu kan?!"" alex ngangguk, ""sampe sekarang juga masih suka kelai, om. cuma gak ada lawannya."" berani banget emang ini anak, bikin malu campur kesellll",Anger
"orang-orang yang suka berkata jujur mendapatkan tiga hal, kepercayaan, cinta, dan rasa hormat. (khalifah ali bin abi thalib)",Neutral
"baru pertama kali ada yang ingin lihat kami berkelahi, biasanya banyak yang bingung. karena terlihat serius ketimbang bercanda. jangan terlalu sedih dan jangan banyak dipikirkan, ai. banyak berdo'a saja mudah-mudahan abangmu berubah.",Neutral
"pagi-pagi dikerjain orang haha dikira gua bego, ya gua ladenin lahh liat sampe manaa",Anger
"kebiasaan banget selalu bawa member lain, selalu ngebanding bandingin. dikira member lain gak sedih juga apa?",Anger
"05.02.2022 tepat 1 tahun banyak penyesuaian, adaptasi, jengkel, nyebelin, walopun gw suka ngambekan kadang frontal tapi tetep harus faham dan cepet diselesaikan. ahh beli kue tart dulu dehh",Neutral
aku selama dapet nilai nggak remidi disyukuri saja,Neutral
"09.20 simpang agus salim : antrian kendaran normal diketiga kaki simpang, situasi arus lalulintas lancar",Neutral
"suka banget keknya bawa dy buat dibanding"" in, habis itu jadi dy nya yang di drag",Love
"di ig cuma sesekali doang bikin story, itu pun random isinya, cuma biar keliatan masih hidup aja, takut dikira dah mati",Fear
cinta mati banget sama yang namanya pizza,Love
bahkan jika itu palsu terimakasih telah membuatku merasa penting :),Sad
semangat.. jangan nangis eiya air mata lu lebih berharga dari apa ye gue juga gatau :( tapi gue juga sedih si mana gak bisa ngedadahin :(,Sad
kaget tapi senang aa changmin,Joy
"guye ak lagi sedih bgt, kucing aku satu meninggal",Sad
luar biasa pak,Joy
"kek apa ya gasuka sm teman yang ngasih tau tapi kaya sambil marah marah gitu, apa ga bisa kalem gitu",Anger
ih enak bgt aa mau jg,Joy
"me time adalah salah satu cara terbaik yang bisa dilakukan di weekend ala aku. kalo aku suka banget weekend sambil nonton drakor sepuasnya pake indihome ditemenin jajann, kalo weekend versi kamu apa nih bestiiee",Love
"jika seseorang tidak mencintai anda janganlah di benci, karena mungkin akan tumbuh benih cinta kembali",Love
ga nikah aj aku klo nurutin ini maaf saya cuma wanita biasa yang kurang ilmu agama,Neutral
"dia baik , dia tanggung jawab , dia perhatian , dia pengganti sosok papah,dia mengerti aku , orang tuanya sayang anggap aku seperti anaknya , dia tidak membiarkan ak sedih , selalu khawatir kalo aku kenapa napa.. and now , i lost him forever",Sad
"kelebihan vr aku mah paling suka pake vr buat nyelem di laut. hahaha itu kocak banget. anakku suka banget tuh main itu, sama bola.",Love
"kedua, ada seth yang terlihat seperti ccn alias cold city namja padahal aslinya dia tuh warm banget! seth ini kayak air (loh?)” maksudnya, dia nih aura nya nenangin gitu. dia suka ngobrolin banyak hal dan anaknya juga receh punya banyak jokes bapack2",Love
"sebagai anak perempuan bapak yang suka bangun siang terus dibangunginnya karena perkara disuruh makan aja, gak relate kalau harus berjuang sendirian demi laki-laki. aku dicintai begitu penuh sama cinta pertamaku :d",Love
"saya aja suka sudu, kalau suka kamu, nanti garfu marah",Neutral
"halo, siapapun kamu dan dimana pun kamu semangat terus ya. masih ada langit di atas langit, semoga apa yang kamu takutkan ga terjadi ya! dan semoga hal baik yang kamu ingin kan bisa tercapai. klo msh ngerasa bingung cerita kesiapa, maybe kamu bisa mulai cerita ke aku, be happy",Joy
suka banget ga bales wa. btw kak ian kenapa marah-marah,Neutral
tuhkan marah..,Anger
aku belum makan siang makji gak selera ga belum nyangkut mau nangis gak menang rasanya malu..,Fear
"sakit tenggorokan awalnya, trs jadi demam naik turun, kepala suka pusing banget, trs flu dan batuk dehh, kalo nemj gejala gitu mending swab pcr aja, kalo emg (+) ntar suruh lapor ke puskesmas/rtmu klo emg gejala ringan disuruh isoman aja, rajin rajin berjemur, makan sehat, vitamin diperbanyak",Neutral
alhamdulillah kabar baik,Neutral
"kompakan niyee, kaget, heran, geram sudah gak asing ditelinga.",Fear
"lagi suka banget lagunya tbz summer time, judulnya aja dah summer tuh oh sama ini luizy - baby ride",Love
"justru aku seneng banget ama event ini dan lebih suka ini dibandingkan lantern rite (tpi demen cut scenenya bagus), lucu liat kichiboushi, paimonnya juga gemesh, liat lumine ngejawab setiap pertanyaannya juga lucu2",Love
"haduh jangan pjj dong, udah mulai ngerti pelajaran tiba tiba pjj jadi bego lagi ntar",Anger
kaget langsung bener,Fear
"ok, jangan berlebihan sewajarnya saja",Neutral
diam nder sy sedang kecewa berat,Sad
mandi air anget pake garam enak jugaa yaa langsung freshh ke badan..,Joy
suka banget enak keras2 alot,Love
"pas lewat jg kaget banget, gini banget deh netizen indo sempet record saking kagetnya. beda banget sama komen orang luar. orang tua nya kalo liat terus ditranslate pasti sedih banget",Sad
jangan pernah merendahkan diri sendiri karena kita itu luar biasaa,Neutral
"bolos, katanya takut kena congorna",Neutral
iya itu di sana takut,Fear
siapa saja yang melakukan pengelolaan pertambangan di indonesia,Neutral
"sebagai penderita agoraphobia, anna gabisa keluar rumah guys, dia bakalan panik dan takut kalo terjebak di suatu ruangan atau bahkan situasi yang ngga familiar gitu. jadi susah ya ges si anna gaboleh keluar rumah dah intinya.",Fear
"gua kalo cinta sama orang suka bucin banget sampe kayak orang bego,tapi kalo tuh orang udah cinta balik,gua malah ilfeel",Love
"salah lah wkwk ntar orang orang pada ikutan sedih, ya walaupun gua gk sedih sih",Neutral
katapat 14 4/6 sekali lagi melakukan kesilapan yang sama. hampir saja terciduk! tak tahu mengapakah ini terjadi buat diriku!,Neutral
"lagi males bales pesan wa, mau deact tp komunikasi cuma disitu. jangan smpai tangan gatel buka wa kalau ga urgent deh beneran muales",Neutral
"pantesan ada istilahdek cinta gak enak padaku? si adek bilang cintamu abang trus si babang bilang adek ku kalau kau cinta pada ku usir bapak mu..,..",Joy
"kemarin hari jumat fun banget entah kenapa, jalan bareng sama sahabat sma (kurang lengkap si) tp one thing gue sayang kalian banget, terima kasih ya udh ngeluangin waktu, terutama kalau gue sedih. gabisa dijelasin rasa sayang gue ke sahabat-sahabat terbaik gue. luv u sekebon",Love
"terima kasih dasom-ah, kamu suka kah kopi seperti ini?",Neutral
"selain itu, saat ini belut juga sudah menjadi cemilan yang dikembangkan oleh beberapa umkm lho. wah, keren banget kan. paling suka makan hidangan apa nih dari belut?",Joy
"happy b'day dedek jiee. adek nuna udah gede. ttap jd maknae yg sabar menghadapi kelakuan abang2ny yah. nuna syang jisung. bahagia terus yh. tenang aja, jisung ttap jadi maknae kesaayangan & yg pling kiyowok,,",Joy
bukan lockey tapi sedih bgt denise hengkang dari secret number. menurut gue denise dan monday vocal terbaik di gen4 sih (menurut gue ya jgn salty) ditambah lagi mereka dari company kecil,Sad
"hi kak, mohon maaf terkait kendalanya. terkait kendala tersebut, untuk saat ini kami tidak dibekali informasi tersebut. apabila ada kendala lain jangan ragu untuk menghubungi kami ya kak. terima kasih ^wh",Fear
bersabar itu jauh berbeda dengan tidak bertindak karena pesimis dan takut. bersabar itu bertahan dalam sikap baik,Neutral
"buat yg suka wangi2 kelapa smooth rileks gitu pasti suka yang vs coco sleep sama coco zen. asli calming banget wanginya, pas dipake agak watery dan hasilnya ngelembabin banget. def my fav, i do repurchase 2 ini ganti2an",Love
happy bbovely dayy!! selamat bertambah usia teteh cantikku park bo young meski wajahnya tetap tidak menuaa.. ditunggu projek2 lainnya __ (fotonya rada ngiklan tapi suka banget sama foto ini),Love
terima kasih pak ri 1 presidenku tetap semangat ya pak membangun bangsa ri,Joy
senang banget dia udah seperti biasa lagi mantappp,Joy
"malu tp gw gak diapain2 mer wkwk udah dibalikin gitu aja, dia tes detak jantung doang kali ya. gw beneran deg2an soalnya tapi ya tetep gak ada yg berubah, cuma emang tau sih kalo dipretelin, tettep takut",Fear
bukan siapa2 tapi merasa prihatin saja sebagai sesama anak bangsa,Neutral
"tbl tbl takut banget loh yang sering tiktokan pasti pernah dengar frasa yang diciptakan ini. sejak viral, tbl digunakan oleh perusahaan besar untuk promosi. penciptanya pun kecewa karena tidak minta izin emangnya frasa bisa dilindungi? [a thread]",Fear
asli enak banget. apalagi kamunya sambil desah kencengg uuhh,Joy
kdg suka ngayal nemenin doi wisuda beh bahagia banget kali yak rasanya wkwk. tp takut juga kalau pd akhirnya bukan aku yg nemenin,Fear
sepi,Sad
aku dendam sama ntu dua orang itu.,Anger
morning ninyan! awak jangan ikut murung jugak okay?,Neutral
pura-pura bego padahal tau semuanya seru banget ya,Neutral
"dan pada akhirnya lu menjadi bingung sama perasaan lu, sama pola pikir lu, terlalu takut untuk maju. termenung dalam diam, overthinking tiap malam, masuk dunia virtual dan menjadi nyaman, aman, tentram. gak mau keluar, mau tetap di sana bersama orang-orang yg bisa ngertiin lu.",Sad
"hdeuu gw marah yhh tempe digituin, pdhl tempe makanan terenak dimuka bumi inie",Anger
"banyak hal hal kecil yg aku lakuin ke kamu, ternyata kamu suka banget!! aku ngelakuin itu semua pure to make u happy",Love
"tapi tetep ga membenarkan kalo sampe harus kasarin pasangan. se marah apapun mentok banting barang aja, ga sampe nyentuh fisik",Neutral
lune mau temenan ga? nanti gue mention sepi banget ga ada temen ngobrol. rep panggil nama gue ya,Neutral
ada ga si yg semangat siap siap kemana gitu eh sampainya disana jd bdmd gatau karena apa,Joy
pap poca yang kamu suka banget dong sampe kapapun bakal tetep suka sama poca ituu,Love
"sch! soalnya di sekolah ku (jateng) kekurangan guru bangett,,banyak guru yg bukan bidangnya justru ngajar di bidang tsb,dan bahkan kepseknya juga rangkap sama sekolah lain. kl emg ini bener sedih banget,gimana generasi kedepannya :(",Sad
penonton kecewa,Sad
"giliran sgala hal yg berbau islam dikebiri,dpojokkan dg alih omikron. srius yg muslim kaga marah??imannya turun atau emnx pura2 muslim?",Anger
"untuk comeback kemaren dan adanya hiatus. hiatus untuk mempersiapkan hati lockey biar tidak luka, iya tidak ada luka tapi sakitnya tetap ada. thanks buat member yang lain telah melewati ini, pasti mereka sedih dan sakit juga. udah sampi di sini aja, aku mau lanjut nangis",Sad
benerbener sedih pagii yg harusnya bahagiaa karena keluargasuami tp dibuat ancur dijam 6 pagi gini..salah keluar rumah di pagihari,Sad
"mimpi pergi bareng ma papuy vespaam, pulkam nek mobil, hft ternyata suka rindu juga",Love
"suka heran sama orang yang udah ngasu tp ga ada effort sama sekali buat mastiin gue sakit ati gak, gue kecewa gak.maksudnyaa lo tuh sadar gasih kalo habis ngejahatin gue, emang repot kalo kita ga pernah ngambek sekalinya ngambek dianggep yaudah, mungkin ga ngambek beneran!!",Anger
dia punya keinginan besar buat hidup dan bales dendam makanya dia tetep hidup meskipun setengah zombi,Neutral
bisaa dong yah! jgn bikin emosi dulu pagi-pagi !!,Anger
"masih nggak ngerti sama orang yg suka maen kode-kodean, padahal to the point itu enak banget",Love
"posisi sendiri itu emang enak, tapi kalo lagi ngerasa sendirian gak enak banget :v kalian gt juga gak si?",Sad
"semangat, semoga lancar ya",Joy
"q lak pas dolan nang pondk mojo, area pethok-keniten-bendo mojo ada lho, malah seng enak iku keniten.. pernah soale q mas",Neutral
pernah kah anda mndengar crt kbahagian yg hakiki di dunia yg fana ini.. trus kesenangan yg hakiki itu yg bgmn.. tak pernah merasa sedih gitu.. trus misal kalo laki sudah tidak kuat lemah cari nafkah apa layak di tinggal pergi.. di usir..,Neutral
"barusan nonton ini, sedih ngeliat il-rak jadinya dia beneran anaknya si ha so itu? atau salah sangka doang?",Sad
kesel bgt anjir pagi2 udah ribet lu bangsat,Anger
"paling ga suka rambut, jujur anjir kek struggle banget gue gambar rambut",Love
"kalo dijawabkan dengan member nct. diriku di real life seperti jaemin,di sosmed seperti chenle and haechan. kalo emosi seperti renjun. kelakuan macam jisung. kalau baku hantam ya kek jeno lahh. mark terlalu sempurna jika dijabarkan dengan diri ku wkwkek",Joy
gak sedih. biasa aja. kesel juga engga. tapi air mata tiba-tiba keluar padahal feeling lagi kosong haha. gilss.,Neutral
"aaaaa sender seneng banget akhirnya au sender mulai rame dulu ga ada yang nungguin, sekarang yang nungguin hampir 300 orang semangat para author!! jangan sedih au kalian masih sepi, pasti akan ada waktunya buat rame okayy",Joy
baru lihat kabar denise astagaa andwee,Neutral
